City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Kruisfontein,ZA,2/3/2022 21:07,-34.0033,24.7314,64.89,75,69,12.46
257,Vanavara,RU,2/3/2022 21:07,60.34,102.2797,11.59,94,100,8.5
258,Sao Filipe,CV,2/3/2022 21:07,14.8961,-24.4956,73.58,74,0,7.9
259,Samarai,PG,2/3/2022 21:07,-10.6167,150.6667,80.28,79,98,7.4
260,Salinopolis,BR,2/3/2022 21:07,-0.6136,-47.3561,79.72,81,91,11.18
261,The Valley,AI,2/3/2022 21:07,18.217,-63.0578,80.82,73,0,13.29
262,Lagoa,PT,2/3/2022 21:03,39.05,-27.9833,57.54,73,100,14.05
263,Dalvik,IS,2/3/2022 21:07,65.9702,-18.5286,19.04,94,83,7.02
264,Chokurdakh,RU,2/3/2022 21:07,70.6333,147.9167,-28.34,100,62,3.04
265,Wuwei,CN,2/3/2022 21:07,37.9281,102.6414,17.8,37,1,0.89
266,Benghazi,LY,2/3/2022 21:07,32.1167,20.0667,56.23,54,97,30.09
267,Karratha,AU,2/3/2022 21:07,-20.7377,116.8463,81.88,74,48,5.17
268,Laguna,US,2/3/2022 21:07,38.421,-121.4238,63.95,51,0,1.99
269,Vanimo,PG,2/3/2022 21:07,-2.6741,141.3028,75.92,85,95,1.81
270,Cuamba,MZ,2/3/2022 21:02,-14.8031,36.5372,71.28,81,19,1.81
271,Minab,IR,2/3/2022 21:07,27.1467,57.0801,58.5,40,0,2.35
272,Aykhal,RU,2/3/2022 21:07,66,111.5,-20.2,100,100,2.21
273,Nancha,CN,2/3/2022 21:07,47.1333,129.2667,-8.7,98,31,3.4
274,Codrington,AU,2/3/2022 21:05,-38.2667,141.9667,60.33,71,100,12.33
275,Rocha,UY,2/3/2022 21:07,-34.4833,-54.3333,76.28,79,100,7.16
276,Itarema,BR,2/3/2022 21:07,-2.9248,-39.9167,80.87,77,95,14.27
277,Saint-Georges,GD,2/3/2022 21:07,12.0564,-61.7485,79.41,68,2,13.09
278,Bubaque,GW,2/3/2022 21:07,11.2833,-15.8333,77.81,75,0,14
279,Nizwa,OM,2/3/2022 21:07,22.9333,57.5333,64.15,47,0,4.27
280,Riyadh,SA,2/3/2022 21:05,24.6877,46.7219,64.54,35,0,11.25
281,Tabuk,PH,2/3/2022 21:07,17.4189,121.4443,67.44,95,6,2.86
282,Charcas,MX,2/3/2022 21:07,23.1333,-101.1167,69.87,19,100,22.39
