City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
322,Ranong,TH,9.9658,98.6348,76.03,89,28,5.53,scattered clouds
323,Cherlak,RU,54.155,74.8055,8.35,85,98,8.57,overcast clouds
324,Xinzhi,CN,36.4989,111.7047,29.3,67,97,2.89,overcast clouds
325,Acapulco,MX,16.8634,-99.8901,80.42,65,20,0.0,few clouds
326,Tshela,CD,-4.9833,12.9333,79.21,83,79,3.36,light rain
327,Tigzirt,DZ,36.8886,4.1198,59.09,79,98,12.19,overcast clouds
328,Keti Bandar,PK,24.1447,67.4497,71.82,64,0,9.57,clear sky
329,Port-Cartier,CA,50.0334,-66.8654,5.76,69,100,7.31,overcast clouds
330,Mutsu,JP,41.2894,141.2169,24.01,70,91,13.89,overcast clouds
331,North Bend,US,43.4065,-124.2243,45.16,100,100,6.91,overcast clouds
332,Dergachi,RU,51.2328,48.7659,20.19,95,100,8.16,overcast clouds
333,Dhidhdhoo,MV,6.8833,73.1,80.76,70,59,11.72,broken clouds
334,Tecoanapa,MX,16.5167,-98.75,80.38,49,2,1.61,clear sky
335,Puerto Padre,CU,21.195,-76.6028,83.41,40,0,10.42,clear sky
336,Manjeshwar,IN,12.7194,74.8861,76.15,78,93,6.76,overcast clouds
337,Naze,JP,28.3667,129.4833,50.7,68,74,18.57,broken clouds
338,Bilibino,RU,68.0546,166.4372,-13.41,95,11,4.72,few clouds
339,Solnechnyy,RU,50.7214,136.6319,2.32,98,100,1.68,overcast clouds
340,Takoradi,GH,4.8845,-1.7554,83.97,68,24,12.3,few clouds
341,Port-Gentil,GA,-0.7193,8.7815,80.37,75,10,10.0,clear sky
342,Lentekhi,GE,42.7856,42.7261,17.94,97,90,4.5,light snow
343,Ulaanbaatar,MN,47.9077,106.8832,-18.27,69,0,0.0,clear sky
344,Mabaruma,GY,8.2,-59.7833,81.64,72,65,4.63,broken clouds
