City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
553,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
554,Meulaboh,ID,75.72,light rain,4.1363,96.1285,Kost Pria
558,Araouane,ML,81.37,clear sky,18.9048,-3.5265,
562,Caetes,BR,88.47,broken clouds,-8.7731,-36.6225,Chácara Hilston
563,Moengo,SR,80.51,broken clouds,5.6167,-54.4,Masanga
565,Isangel,VU,79.43,moderate rain,-19.55,169.2667,Tanna Lodge
566,Ko Samui,TH,81.73,scattered clouds,9.5357,99.9357,The Passage
572,Ati,TD,82.62,clear sky,13.2154,18.3353,
574,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
576,Paita,PE,84.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
582,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
589,Biak,ID,76.15,overcast clouds,-0.9131,122.8766,Penginapan Kim
594,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
602,Tual,ID,82.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
604,Rio Pardo De Minas,BR,76.55,overcast clouds,-15.6097,-42.5397,Hotel Oásis Cidade Alta
606,Karratha,AU,84.96,broken clouds,-20.7377,116.8463,ibis Styles Karratha
607,Pitimbu,BR,88.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
610,Bonfim,BR,87.64,overcast clouds,3.0833,-59.95,
612,Goundam,ML,84.87,clear sky,16.4145,-3.6708,
614,Pangoa,PE,86.36,overcast clouds,-12.1167,-73.0,
616,Villamontes,BO,76.86,overcast clouds,-21.25,-63.5,Hotel Raldes
617,Sao Felix Do Xingu,BR,86.07,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
618,Sibolga,ID,75.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
619,Djenne,ML,89.8,clear sky,13.9061,-4.5533,Hôtel Chez Baba
623,Noumea,NC,76.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
627,Mounana,GA,87.71,scattered clouds,-1.4085,13.1586,
629,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
630,Pandan,PH,76.66,overcast clouds,14.0453,124.1694,Bonifacio Lodge
631,Iracoubo,GF,79.92,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
